Waiting for serial port to connect: .....
Setting serial port parameters... Ok
Initiating communication... Ok
0x20000448	0xffff
0x2000044c	0xfc00
0x20000450	0xffcd
0x20000454	0x0000
0x20000458	0x0000
0x2000045c	0x8510
0x20000460	0x0000
0x20000464	0x0000
0x20000468	0x0000
0x2000046c	0x0000
0x20000470	0x0000
0x20000474	0x0000
0x20000478	0x3c7a
0x2000047c	0x747c
0x20000480	0x8d97
0x20000484	0x2a15
0x20000488	0x0989
0x2000048c	0x000f
0x20000490	0x0000
0x20000494	0x0000
0x20000498	0x0000
0x2000049c	0x0000
0x200004a0	0x0000
0x200004a4	0x0000
0x200004a8	0x0000
0x200004ac	0x0000
0x200004b0	0x0000
0x200004b4	0x0000
0x200004b8	0x0000
0x200004bc	0x0000
0x200004c0	0x0004
0x200004c4	0x0000
0x200004c8	0x0000
0x200004cc	0x0000
0x200004d0	0x0002
0x200004d4	0x0000
0x200004d8	0x0000
0x200004dc	0x0000
0x200004e0	0x0000
0x200004e4	0x0000
0x200004e8	0x0000
0x200004ec	0x0000
0x200004f0	0x0000
0x200004f4	0x0000
0x200004f8	0x0000
0x200004fc	0x0000
0x20000500	0x0000
0x20000504	0x0000
0x20000508	0x0000
0x2000050c	0x0000
0x20000510	0x0000
0x20000514	0x0000
0x20000518	0x0000
0x2000051c	0x0000
0x20000520	0x0000
0x20000524	0x0000
0x20000528	0x0000
0x2000052c	0x0000
0x20000530	0x0000
0x20000534	0x0000
0x20000538	0x0000
0x2000053c	0x0000
0x20000540	0x0000
0x20000544	0x0000
0x20000548	0x0000
0x2000054c	0x0000
0x20000550	0x0000
0x20000554	0x0000
0x20000558	0x0000
0x2000055c	0x0000
0x20000560	0x0000
0x20000564	0x0000
0x20000568	0x0000
0x2000056c	0x0000
0x20000570	0x0000
0x20000574	0x0000
0x20000578	0x0000
0x2000057c	0x0000
0x20000580	0x0000
0x20000584	0x0000
0x20000588	0x0000
0x2000058c	0x0000
0x20000590	0x0000
0x20000594	0x0000
0x20000598	0x0000
0x2000059c	0x0000
0x200005a0	0x0000
0x200005a4	0x0000
0x200005a8	0x0000
0x200005ac	0x0000
0x200005b0	0x0000
0x200005b4	0x0000
0x200005b8	0x0000
0x200005bc	0x0000
0x200005c0	0x0000
0x200005c4	0x0000
0x200005c8	0x0000
0x200005cc	0x0000
0x200005d0	0x0000
0x200005d4	0x0000
0x200005d8	0x0000
0x200005dc	0x0000
0x200005e0	0x0000
0x200005e4	0x0000
0x200005e8	0x0000
0x200005ec	0x0000
0x200005f0	0x0000
0x200005f4	0x0000
0x200005f8	0x0000
0x200005fc	0x0000
0x20000600	0x0000
0x20000604	0x0000
0x20000608	0x0000
0x2000060c	0x0000
0x20000610	0x0000
0x20000614	0x0000
0x20000618	0x0000
0x2000061c	0x0000
0x20000620	0x0000
0x20000624	0x0000
0x20000628	0x0000
0x2000062c	0x0000
0x20000630	0x0000
0x20000634	0x0068
0x20000638	0x0000
0x2000063c	0x0000
0x20000640	0x0000
0x20000644	0x0000
0x20000648	0x0000
0x2000064c	0x0000
0x20000650	0x0000
0x20000654	0x0000
0x20000658	0x0000
0x2000065c	0x0000
0x20000660	0x0000
0x20000664	0x0000
0x20000668	0x0000
0x2000066c	0x0000
0x20000670	0x0000
0x20000674	0x0000
0x20000678	0x0000
0x2000067c	0x0000
0x20000680	0x0000
0x20000684	0x0000
0x20000688	0x0000
0x2000068c	0x0000
0x20000690	0x0000
0x20000694	0x0000
0x20000698	0x0000
0x2000069c	0x0000
0x200006a0	0x0000
0x200006a4	0x0000
0x200006a8	0x0000
0x200006ac	0x0000
0x200006b0	0x0000
0x200006b4	0x0000
0x200006b8	0x0000
0x200006bc	0x0000
0x200006c0	0x0000
0x200006c4	0x0000
0x200006c8	0x0000
0x200006cc	0x0000
0x200006d0	0x0000
0x200006d4	0x0000
0x200006d8	0x0000
0x200006dc	0x0000
0x200006e0	0x0000
0x200006e4	0x0000
0x200006e8	0x0000
0x200006ec	0x0000
0x200006f0	0x0000
0x200006f4	0x0000
0x200006f8	0x0000
0x200006fc	0x0000
0x20000700	0x0000
0x20000704	0x0000
0x20000708	0x0000
0x2000070c	0x0000
0x20000710	0x0000
0x20000714	0x0000
0x20000718	0x0000
0x2000071c	0x0000
0x20000720	0x0000
0x20000724	0x0000
0x20000728	0x0000
0x2000072c	0x0000
0x20000730	0x0000
0x20000734	0x0000
0x20000738	0x0000
0x2000073c	0x0000
0x20000740	0x0000
0x20000744	0x0000
0x20000748	0x0000
0x2000074c	0x0155
0x20000750	0x0000
0x20000754	0x0000
0x20000758	0x0000
0x2000075c	0x0000
0x20000760	0x0000
0x20000764	0x0000
0x20000768	0x0000
0x2000076c	0x0000
0x20000770	0x0000
0x20000774	0x0000
0x20000778	0x0000
0x2000077c	0x0000
0x20000780	0x0000
0x20000784	0x0000
0x20000788	0x0000
0x2000078c	0x0000
0x20000790	0x0000
0x20000794	0x0000
0x20000798	0x0000
0x2000079c	0x0000
0x200007a0	0x0000
0x200007a4	0x0000
0x200007a8	0x0000
0x200007ac	0x0000
0x200007b0	0x0000
0x200007b4	0x0000
0x200007b8	0x0000
0x200007bc	0x0000
0x200007c0	0x0000
0x200007c4	0x0000
0x200007c8	0x0000
0x200007cc	0x0000
0x200007d0	0x0000
0x200007d4	0x0000
0x200007d8	0x0000
0x200007dc	0x0000
0x200007e0	0x0000
0x200007e4	0x0000
0x200007e8	0x0000
0x200007ec	0x0000
0x200007f0	0x0000
0x200007f4	0x0000
0x200007f8	0x0000
0x200007fc	0x0000
0x20000800	0x0000
0x20000804	0x0000
0x20000808	0x0000
0x2000080c	0x0000
0x20000810	0x0000
0x20000814	0x0000
0x20000818	0x0000
0x2000081c	0x0000
0x20000820	0x0000
0x20000824	0x0901
0x20000828	0x0901
0x2000082c	0x0000
0x20000830	0x0000
0x20000834	0x0000
0x20000838	0x0000
0x2000083c	0x0000
0x20000840	0x0000
0x20000844	0x0000
0x20000848	0x0000
0x2000084c	0x0000
0x20000850	0x0000
0x20000854	0x0000
0x20000858	0x0000
0x2000085c	0x0000
0x20000860	0x0000
0x20000864	0x0000
0x20000868	0x0000
0x2000086c	0x0000
0x20000870	0x0000
0x20000874	0x0000
0x20000878	0x0000
0x2000087c	0x0000
0x20000880	0x0000
